obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""386.55""","=""0.02""","=""386.543""","=""0.013""","=""130""","=""5.8e+07""",D,"=""33.0525""","=""36.2591""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""",,"=""T5209""","=""L6269""",
"=""387.29""","=""0.02""","=""387.296""","=""0.011""","=""19""","=""1.2e+07""",D,"=""33.0525""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
"=""388.18""","=""0.02""","=""388.181""","=""0.020""","=""420""","=""1.63e+08""",D,"=""33.0525""","=""36.2456""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""9/2""",,"=""T5209""","=""L6269""",
"=""""","=""""","=""388.39033""","=""0.00005""","=""""","=""6.95e-04""",C,"=""0.000000000""","=""3.1913531""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.4s""","=""2S""","=""1/2""",M1,"=""c27""","=""""",
"=""388.57""","=""0.02""","=""388.571""","=""0.011""","=""36""","=""6.2e+07""",D,"=""33.1388""","=""36.3286""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5209""","=""L6269""",
"=""390.04""","=""0.02""","=""390.033""","=""0.014""","=""15""","=""7.7e+07""",D,"=""33.1388""","=""36.3167""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""",,"=""T5209""","=""L6269""",
"=""391.18""","=""0.02""","=""391.170""","=""0.018""","=""""","=""""",,"=""33.1752""","=""36.3439""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""1/2""",,"=""""","=""L10065""",
"=""391.79""","=""0.02""","=""391.803""","=""0.012""","=""160""","=""6.6e+07""",D,"=""33.0956""","=""36.2591""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""",,"=""T5209""","=""L6269""",
"=""392.56""","=""0.02""","=""392.577""","=""0.009""","=""85""","=""4.5e+07""",D,"=""33.0956""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
"=""393.06""","=""0.02""","=""393.059""","=""0.014""","=""15""","=""2.5e+07""",D,"=""33.1752""","=""36.3286""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5209""","=""L6269""",
"=""394.26""","=""0.02""","=""394.283""","=""0.009""","=""32""","=""2.1e+07""",D,"=""33.0956""","=""36.2392""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5209""","=""L6269""",
"=""398.03""","=""0.02""","=""398.023""","=""0.010""","=""14""","=""5.e+06""",D,"=""33.1388""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
