obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""429.1976""","=""0.0020""","=""429.1992""","=""0.0009""","=""20*""","=""""",,"=""18.63679156""","=""21.524712""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""429.1976""","=""0.0020""","=""429.1992""","=""0.0015""","=""20*""","=""""",,"=""18.63679156""","=""21.524712""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""429.1976""","=""0.0020""","=""429.1987""","=""0.0013""","=""20*""","=""""",,"=""18.63679156""","=""21.524716""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""430.3248""","=""0.0020""","=""430.32535""","=""0.00009""","=""300""","=""""",,"=""18.38162323""","=""21.2619865""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""430.3695""","=""0.0020""","=""430.3718""","=""0.0017""","=""10""","=""""",,"=""18.61270528""","=""21.492758""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""430.3955""","=""0.0020""","=""430.3963""","=""0.0015""","=""50""","=""""",,"=""18.61270528""","=""21.492594""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""430.62508""","=""0.00020""","=""430.62518""","=""0.00008""","=""700""","=""""",,"=""18.38162323""","=""21.2599810""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""431.0130""","=""0.0020""","=""431.0131""","=""0.0020""","=""20""","=""""",,"=""18.57583601""","=""21.451603""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""431.4110""","=""0.0020""","=""431.4114""","=""0.0015""","=""10""","=""""",,"=""18.55510805""","=""21.428220""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""431.4695""","=""0.0020""","=""431.4695""","=""0.0020""","=""300""","=""""",,"=""18.55510805""","=""21.427833""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""4""",,"=""""","=""L3469""",
"=""431.6008""","=""0.0020""","=""431.60048""","=""0.00010""","=""150""","=""""",,"=""18.57583601""","=""21.4476896""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""431.8834""","=""0.0020""","=""431.88005""","=""0.00008""","=""50""","=""""",,"=""18.57583601""","=""21.4458306""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""431.9511""","=""0.0020""","=""431.9506""","=""0.0015""","=""10""","=""""",,"=""18.57583601""","=""21.445362""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""432.1492""","=""0.0020""","=""432.1493""","=""0.0011""","=""20""","=""""",,"=""18.61270528""","=""21.480912""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""432.7265""","=""0.0020""","=""432.7266""","=""0.0011""","=""100""","=""""",,"=""18.55510805""","=""21.419488""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""433.41267""","=""0.00004""","=""433.41253""","=""0.00003""","=""700""","=""""",,"=""18.38162323""","=""21.24147014""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L3451""",
"=""433.62268""","=""0.00020""","=""433.62251""","=""0.00003""","=""500""","=""""",,"=""18.38162323""","=""21.24008531""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L4498""",
"=""433.8200""","=""0.0020""","=""433.8200""","=""0.0021""","=""20""","=""""",,"=""18.61270528""","=""21.469866""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""434.0256""","=""0.0020""","=""434.0252""","=""0.0011""","=""20""","=""""",,"=""18.63679156""","=""21.492601""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""434.0420""","=""0.0020""","=""434.0418""","=""0.0009""","=""20""","=""""",,"=""18.57583601""","=""21.431537""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""434.5479""","=""0.0020""","=""434.5475""","=""0.0015""","=""20*""","=""""",,"=""18.57583601""","=""21.428214""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""434.5479""","=""0.0020""","=""434.5465""","=""0.0015""","=""20*""","=""""",,"=""18.57583601""","=""21.428220""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""434.5762""","=""0.0020""","=""434.5749""","=""0.0017""","=""10""","=""""",,"=""18.61270528""","=""21.464903""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""434.6036""","=""0.0020""","=""434.6013""","=""0.0019""","=""150""","=""""",,"=""18.57583601""","=""21.427860""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""435.7298""","=""0.0020""","=""435.7289""","=""0.0011""","=""20""","=""""",,"=""18.63679156""","=""21.481435""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""435.7918""","=""0.0020""","=""435.7901""","=""0.0010""","=""50""","=""""",,"=""18.57583601""","=""21.420080""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""435.8816""","=""0.0020""","=""435.8809""","=""0.0011""","=""20""","=""""",,"=""18.57583601""","=""21.419488""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""436.2690""","=""0.0020""","=""436.2693""","=""0.0011""","=""300""","=""""",,"=""18.55510805""","=""21.396228""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""436.3228""","=""0.0020""","=""436.3230""","=""0.0008""","=""20""","=""""",,"=""18.55510805""","=""21.395879""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""436.3524""","=""0.0001""","=""436.35240""","=""0.00010""","=""700""","=""""",,"=""18.55510805""","=""21.3956874""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""4""",,"=""""","=""L7292""",
"=""436.5705""","=""0.0020""","=""436.5706""","=""0.0019""","=""10""","=""""",,"=""18.61270528""","=""21.451865""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""437.1796""","=""0.0020""","=""437.1810""","=""0.0013""","=""20""","=""""",,"=""18.61270528""","=""21.447901""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""437.2157""","=""0.0020""","=""437.21510""","=""0.00010""","=""300""","=""""",,"=""18.61270528""","=""21.4476798""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""437.4997""","=""0.0020""","=""437.5025""","=""0.0021""","=""20*""","=""""",,"=""18.63679156""","=""21.469903""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""437.4997""","=""0.0020""","=""437.50048""","=""0.00008""","=""20*""","=""""",,"=""18.61270528""","=""21.4458306""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""437.7754""","=""0.0020""","=""437.7744""","=""0.0010""","=""20""","=""""",,"=""18.69335943""","=""21.524712""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""437.7754""","=""0.0020""","=""437.7744""","=""0.0015""","=""20*""","=""""",,"=""18.69335943""","=""21.524712""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""438.1220""","=""0.0001""","=""438.12199""","=""0.00010""","=""300""","=""""",,"=""18.55510805""","=""21.3842144""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""439.4370""","=""0.0020""","=""439.4370""","=""0.0015""","=""150*""","=""""",,"=""18.70407118""","=""21.524712""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""439.4370""","=""0.0020""","=""439.4370""","=""0.0010""","=""150*""","=""""",,"=""18.70407118""","=""21.524712""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""439.4370""","=""0.0020""","=""439.4364""","=""0.0014""","=""150*""","=""""",,"=""18.70407118""","=""21.524716""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""439.4773""","=""0.0020""","=""439.4776""","=""0.0012""","=""150""","=""""",,"=""18.57583601""","=""21.396216""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""439.5008""","=""0.0020""","=""439.5025""","=""0.0010""","=""10""","=""""",,"=""18.57583601""","=""21.396056""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""439.5306""","=""0.0020""","=""439.5301""","=""0.0008""","=""10""","=""""",,"=""18.57583601""","=""21.395879""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""439.5556""","=""0.0001""","=""439.55560""","=""0.00010""","=""500""","=""""",,"=""18.57583601""","=""21.3957154""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""3""",,"=""""","=""L7292""",
"=""439.5969""","=""0.0020""","=""439.5972""","=""0.0010""","=""10""","=""""",,"=""18.57583601""","=""21.395449""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""439.7175""","=""0.0020""","=""439.7190""","=""0.0010""","=""10""","=""""",,"=""18.61270528""","=""21.431537""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""439.8136""","=""0.0020""","=""439.8133""","=""0.0012""","=""50""","=""""",,"=""18.61270528""","=""21.430933""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""440.2374""","=""0.0020""","=""440.2380""","=""0.0016""","=""20""","=""""",,"=""18.61270528""","=""21.428214""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""440.2580""","=""0.0020""","=""440.2554""","=""0.0014""","=""10""","=""""",,"=""18.61270528""","=""21.428102""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""440.2985""","=""0.0020""","=""440.2996""","=""0.0017""","=""10""","=""""",,"=""18.63679156""","=""21.451906""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""440.5582""","=""0.0020""","=""440.5571""","=""0.0021""","=""20""","=""""",,"=""18.71137667""","=""21.524846""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""440.9620""","=""0.0020""","=""440.96009""","=""0.00010""","=""200""","=""""",,"=""18.63679156""","=""21.4476896""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""441.2285""","=""0.0020""","=""441.22878""","=""0.00004""","=""200""","=""""",,"=""18.57583601""","=""21.38502238""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""441.3561""","=""0.0020""","=""441.35572""","=""0.00010""","=""150""","=""""",,"=""18.57583601""","=""21.3842144""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""441.5141""","=""0.0020""","=""441.5134""","=""0.0010""","=""50""","=""""",,"=""18.61270528""","=""21.420080""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""441.6817""","=""0.0020""","=""441.68152""","=""0.00006""","=""500""","=""""",,"=""18.57583601""","=""21.3821429""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""442.0558""","=""0.0020""","=""442.05903""","=""0.00003""","=""10""","=""""",,"=""18.38162323""","=""21.18553364""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""442.15553""","=""0.00020""","=""442.15541""","=""0.00004""","=""500""","=""""",,"=""18.38162323""","=""21.18492247""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
"=""442.25205""","=""0.00004""","=""442.25191""","=""0.00003""","=""3000""","=""""",,"=""18.38162323""","=""21.18431077""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3451""",
"=""442.48065""","=""0.00020""","=""442.48052""","=""0.00003""","=""3000""","=""""",,"=""18.38162323""","=""21.18286278""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""442.5400""","=""0.0001""","=""442.54000""","=""0.00010""","=""1500""","=""""",,"=""18.38162323""","=""21.1824863""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""",,"=""""","=""L7292""",
"=""442.7755""","=""0.0020""","=""442.7716""","=""0.0018""","=""300""","=""""",,"=""18.69335943""","=""21.492758""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""442.7981""","=""0.0020""","=""442.7975""","=""0.0016""","=""150""","=""""",,"=""18.69335943""","=""21.492594""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""442.9410""","=""0.0020""","=""442.9405""","=""0.0016""","=""10""","=""""",,"=""18.72638145""","=""21.524712""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""443.25166""","=""0.00020""","=""443.25142""","=""0.00012""","=""200""","=""""",,"=""18.55510805""","=""21.3514758""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L4498""",
"=""443.3398""","=""0.0020""","=""443.33980""","=""0.00022""","=""100""","=""""",,"=""18.55510805""","=""21.3509183""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""443.37239""","=""0.00004""","=""443.37238""","=""0.00004""","=""700""","=""""",,"=""18.55510805""","=""21.35071290""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""4""",,"=""""","=""L3451""",
"=""443.5094""","=""0.0020""","=""443.5088""","=""0.0010""","=""50""","=""""",,"=""18.63679156""","=""21.431537""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""444.0363""","=""0.0020""","=""444.0367""","=""0.0016""","=""150*""","=""""",,"=""18.63679156""","=""21.428214""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""444.0363""","=""0.0020""","=""444.0357""","=""0.0016""","=""150*""","=""""",,"=""18.63679156""","=""21.428220""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""444.0812""","=""0.0020""","=""444.0815""","=""0.0016""","=""20""","=""""",,"=""18.63679156""","=""21.427932""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""444.0890""","=""0.0020""","=""444.0929""","=""0.0020""","=""10""","=""""",,"=""18.63679156""","=""21.427860""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""444.4978""","=""0.0020""","=""444.4973""","=""0.0012""","=""300""","=""""",,"=""18.70407118""","=""21.492601""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""444.5671""","=""0.0020""","=""444.5697""","=""0.0012""","=""10""","=""""",,"=""18.69335943""","=""21.481435""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""444.6538""","=""0.0020""","=""444.6531""","=""0.0012""","=""10""","=""""",,"=""18.69335943""","=""21.480912""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""445.2983""","=""0.0020""","=""445.2988""","=""0.0012""","=""150""","=""""",,"=""18.61270528""","=""21.396216""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""445.3253""","=""0.0020""","=""445.3244""","=""0.0010""","=""50""","=""""",,"=""18.61270528""","=""21.396056""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""445.3324""","=""0.0020""","=""445.3343""","=""0.0010""","=""20""","=""""",,"=""18.63679156""","=""21.420080""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""445.3528""","=""0.0020""","=""445.3528""","=""0.0008""","=""10""","=""""",,"=""18.61270528""","=""21.395879""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""445.4285""","=""0.0020""","=""445.4292""","=""0.0012""","=""50""","=""""",,"=""18.63679156""","=""21.419488""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""445.5564""","=""0.0020""","=""445.55700""","=""0.00008""","=""150""","=""""",,"=""18.57583601""","=""21.3577339""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""445.6380""","=""0.0020""","=""445.6398""","=""0.0018""","=""10""","=""""",,"=""18.71137667""","=""21.492758""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""446.0175""","=""0.0001""","=""446.01758""","=""0.00014""","=""1000""","=""""",,"=""18.55510805""","=""21.3341332""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""446.2856""","=""0.0020""","=""446.2843""","=""0.0012""","=""20""","=""""",,"=""18.70407118""","=""21.481435""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""446.56544""","=""0.00020""","=""446.56477""","=""0.00020""","=""500""","=""""",,"=""18.57583601""","=""21.3514561""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L4498""",
"=""446.6045""","=""0.0020""","=""446.6038""","=""0.0010""","=""50""","=""""",,"=""18.57583601""","=""21.351213""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""446.6503""","=""0.0020""","=""446.65130""","=""0.00022""","=""20""","=""""",,"=""18.57583601""","=""21.3509183""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""446.68120""","=""0.00004""","=""446.68120""","=""0.00004""","=""700""","=""""",,"=""18.57583601""","=""21.35073261""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""",,"=""""","=""L3451""",
