obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""520.6565""","=""0.0020""","=""520.65761""","=""0.00004""","=""30""","=""""",,"=""18.63679156""","=""21.01742872""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""520.88648""","=""0.00004""","=""520.88636""","=""0.00004""","=""700""","=""1.43e+06""",C+,"=""18.63679156""","=""21.01638327""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L3451""",
"=""521.05672""","=""0.00004""","=""521.05667""","=""0.00004""","=""500""","=""4.38e+05""",C+,"=""18.63679156""","=""21.01560547""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T6976""","=""L3451""",
"=""521.43389""","=""0.00004""","=""521.43363""","=""0.00004""","=""350""","=""4.39e+05""",C,"=""18.63679156""","=""21.01388581""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L3451""",
"=""522.23517""","=""0.00004""","=""522.23519""","=""0.00004""","=""500""","=""""",,"=""18.57583601""","=""20.94928177""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",,"=""""","=""L3451""",
"=""523.40271""","=""0.00004""","=""523.40276""","=""0.00004""","=""500""","=""""",,"=""18.57583601""","=""20.94398733""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",,"=""""","=""L3451""",
"=""527.40393""","=""0.00004""","=""527.40406""","=""0.00004""","=""400""","=""""",,"=""18.69335943""","=""21.04354431""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L3451""",
"=""528.00853""","=""0.00004""","=""528.00863""","=""0.00004""","=""500""","=""""",,"=""18.69335943""","=""21.04085339""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",,"=""""","=""L3451""",
"=""529.81891""","=""0.00004""","=""529.81891""","=""0.00004""","=""1500""","=""""",,"=""18.70407118""","=""21.04354431""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L3451""",
"=""530.47580""","=""0.00004""","=""530.47573""","=""0.00004""","=""700""","=""""",,"=""18.61270528""","=""20.94928177""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",,"=""""","=""L3451""",
"=""531.47851""","=""0.00030""","=""531.47859""","=""0.00004""","=""300""","=""""",,"=""18.71137667""","=""21.04354431""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""531.68046""","=""0.00030""","=""531.68048""","=""0.00004""","=""250""","=""""",,"=""18.61270528""","=""20.94398733""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""532.0550""","=""0.0020""","=""532.05511""","=""0.00004""","=""20""","=""""",,"=""18.38162323""","=""20.71126380""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""532.6396""","=""0.0001""","=""532.63952""","=""0.00004""","=""750""","=""5.49e+05""",C+,"=""18.38162323""","=""20.70870776""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L7292""",
"=""533.06720""","=""0.00030""","=""533.06678""","=""0.00004""","=""5""","=""6.94e+05""",C+,"=""18.69335943""","=""21.01857880""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L4498""",
"=""533.07775""","=""0.00004""","=""533.07771""","=""0.00004""","=""6000""","=""5.30e+06""",C+,"=""18.38162323""","=""20.70679493""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L3451""",
"=""533.33083""","=""0.00030""","=""533.33057""","=""0.00004""","=""500""","=""4.70e+05""",C+,"=""18.69335943""","=""21.01742872""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L4498""",
"=""533.5710""","=""0.0020""","=""533.57059""","=""0.00004""","=""100""","=""5.2e+04""",C,"=""18.69335943""","=""21.01638327""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L3469""",
"=""534.10938""","=""0.00004""","=""534.10932""","=""0.00004""","=""10000""","=""7.74e+06""",C+,"=""18.38162323""","=""20.70230399""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L3451""",
