element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Na,1,"=""285.2811""","=""0.0004""","=""285.28110""","=""0.00016""","=""16""","=""5.38e+05""",B+,"=""0.000000000""","=""4.3447597""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""3/2""",,"=""c30,T76n""","=""L6096""",
Na,1,"=""285.3013""","=""0.0004""","=""285.30121""","=""0.00016""","=""15""","=""5.31e+05""",B+,"=""0.000000000""","=""4.3444534""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""1/2""",,"=""c30,T76n""","=""L6096""",
Na,2,"=""285.6508""","=""0.0003""","=""285.6508""","=""0.0012""","=""650""","=""6.2e+07""",E,"=""36.967803""","=""41.306940""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""285.9488""","=""0.0003""","=""285.9486""","=""0.0012""","=""800""","=""2.19e+07""",B,"=""32.846429""","=""37.181047""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""1P""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""286.1019""","=""0.0003""","=""286.1021""","=""0.0012""","=""350""","=""8.0e+06""",E,"=""36.967803""","=""41.300096""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""287.1275""","=""0.0003""","=""287.1277""","=""0.0012""","=""750""","=""2.75e+07""",B+,"=""32.941315""","=""37.258133""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""287.2954""","=""0.0003""","=""287.2957""","=""0.0012""","=""650""","=""2.63e+07""",C+,"=""36.967803""","=""41.282097""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""288.1146""","=""0.0003""","=""288.1149""","=""0.0012""","=""900""","=""2.50e+08""",A,"=""32.941315""","=""37.243343""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""0""",,"=""T7663""","=""L914""",
Na,2,"=""288.6257""","=""0.0003""","=""288.6259""","=""0.0012""","=""850""","=""1.07e+08""",B+,"=""36.967803""","=""41.262215""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""289.3949""","=""0.0003""","=""289.3954""","=""0.0012""","=""700""","=""1.48e+08""",B,"=""36.967803""","=""41.250796""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""",,"=""T7663""","=""L914""",
Na,2,"=""290.1139""","=""0.0003""","=""290.1143""","=""0.0012""","=""900""","=""1.1e+08""",E,"=""36.854157""","=""41.126538""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",,"=""T7663c81""","=""L914""",
Na,2,"=""290.4716""","=""0.0003""","=""290.4709""","=""0.0012""","=""800""","=""1.0e+07""",E,"=""36.854157""","=""41.121292""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036c79""","=""L914""",
Na,2,"=""290.4915""","=""0.0003""","=""290.4918""","=""0.0012""","=""1100""","=""7.30e+07""",A,"=""32.941315""","=""37.208144""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""291.752""","=""0.010""","=""291.7521""","=""0.0012""","=""1100""","=""7.92e+07""",B+,"=""32.846429""","=""37.094827""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""1D""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""291.9049""","=""0.0003""","=""291.9050""","=""0.0012""","=""1100""","=""1.6e+08""",E,"=""36.854157""","=""41.100329""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T7663c78""","=""L914""",
Na,2,"=""291.9850""","=""0.0003""","=""291.9849""","=""0.0012""","=""1200""","=""1.33e+08""",C,"=""36.902113""","=""41.147123""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663c79""","=""L914""",
Na,2,"=""292.0945""","=""0.0003""","=""292.0944""","=""0.0012""","=""1300""","=""6.66e+07""",A,"=""33.014713""","=""37.258133""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3P""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""292.3485""","=""0.0003""","=""292.3484""","=""0.0012""","=""1000""","=""1.41e+07""",B,"=""32.941315""","=""37.181047""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""1P""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""293.0882""","=""0.0003""","=""293.0881""","=""0.0012""","=""750""","=""9.83e+07""",B+,"=""36.902113""","=""41.131145""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""293.4079""","=""0.0003""","=""293.4078""","=""0.0012""","=""850""","=""2.8e+07""",E,"=""36.902113""","=""41.126538""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",,"=""T7663c77""","=""L914""",
Na,2,"=""293.7735""","=""0.0003""","=""293.7726""","=""0.0012""","=""950""","=""1.3e+08""",E,"=""36.902113""","=""41.121292""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036c79""","=""L914""",
Na,2,"=""294.2657""","=""0.0003""","=""294.2655""","=""0.0012""","=""450""","=""1.0e+07""",E,"=""37.094827""","=""41.306940""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""294.5702""","=""0.0003""","=""294.5699""","=""0.0012""","=""800""","=""2.8e+07""",E,"=""36.854157""","=""41.061918""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",,"=""T7663c78""","=""L914""",
Na,2,"=""294.7449""","=""0.0003""","=""294.7445""","=""0.0012""","=""950""","=""7.1e+07""",C,"=""37.094827""","=""41.300096""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
