element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Na,2,"=""304.5600""","=""0.0003""","=""304.5597""","=""0.0013""","=""400""","=""6.92e+07""",C+,"=""37.181047""","=""41.250796""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""",,"=""T7663""","=""L914""",
Na,2,"=""305.0210""","=""0.0003""","=""305.0208""","=""0.0013""","=""350""","=""1.3e+08""",E,"=""37.243343""","=""41.306940""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""305.3666""","=""0.0003""","=""305.3665""","=""0.0013""","=""550""","=""3.0e+08""",E,"=""37.208144""","=""41.267140""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",,"=""T6036c79""","=""L914""",
Na,2,"=""305.5347""","=""0.0003""","=""305.5354""","=""0.0013""","=""550""","=""8.8e+06""",E,"=""37.243343""","=""41.300096""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""305.6161""","=""0.0003""","=""305.6160""","=""0.0013""","=""550""","=""7.46e+07""",A,"=""32.846429""","=""36.902113""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""305.7375""","=""0.0003""","=""305.7375""","=""0.0013""","=""550""","=""4.51e+07""",B+,"=""37.208144""","=""41.262215""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""305.8720""","=""0.0003""","=""305.8715""","=""0.0013""","=""550""","=""2.18e+07""",C+,"=""37.094827""","=""41.147123""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""306.1350""","=""0.0003""","=""306.1350""","=""0.0013""","=""800""","=""1.0e+08""",E,"=""37.258133""","=""41.306940""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""306.4375""","=""0.0003""","=""306.4374""","=""0.0013""","=""500""","=""7.62e+06""",C,"=""36.967803""","=""41.012615""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""306.6535""","=""0.0003""","=""306.6534""","=""0.0013""","=""500""","=""3.74e+07""",B,"=""37.258133""","=""41.300096""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,2,"=""307.0829""","=""0.0003""","=""307.0823""","=""0.0013""","=""350""","=""8.7e+06""",C,"=""37.094827""","=""41.131145""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036""","=""L914""",
Na,2,"=""307.4334""","=""0.0003""","=""307.4332""","=""0.0013""","=""550""","=""1.4e+08""",E,"=""37.094827""","=""41.126538""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",,"=""T6036c79""","=""L914""",
Na,2,"=""307.8318""","=""0.0003""","=""307.8320""","=""0.0013""","=""550bl*""","=""1.17e+08""",A,"=""32.941315""","=""36.967803""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""307.8318""","=""0.0003""","=""307.8338""","=""0.0013""","=""550bl*""","=""3.6e+05""",E,"=""37.094827""","=""41.121292""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036c79""","=""L914""",
Na,2,"=""307.8752""","=""0.0003""","=""307.8747""","=""0.0013""","=""170""","=""3.59e+06""",D+,"=""36.967803""","=""40.993732""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T6036""","=""L914""",
Na,2,"=""308.0254""","=""0.0003""","=""308.0251""","=""0.0013""","=""550""","=""2.81e+08""",B+,"=""37.258133""","=""41.282097""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""308.7060""","=""0.0003""","=""308.7057""","=""0.0013""","=""450""","=""1.66e+07""",C,"=""36.967803""","=""40.982896""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",,"=""T6036""","=""L914""",
Na,2,"=""309.2732""","=""0.0003""","=""309.2731""","=""0.0014""","=""550""","=""2.09e+08""",A,"=""32.846429""","=""36.854157""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""3""",,"=""T7663""","=""L914""",
Na,2,"=""309.4449""","=""0.0003""","=""309.4449""","=""0.0014""","=""650""","=""1.1e+06""",E,"=""37.094827""","=""41.100329""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T7663c78""","=""L914""",
Na,2,"=""309.5552""","=""0.0003""","=""309.5546""","=""0.0014""","=""650""","=""3.97e+05""",D+,"=""37.258133""","=""41.262215""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""310.4403""","=""0.0003""","=""310.4400""","=""0.0014""","=""500""","=""5.63e+07""",C+,"=""37.258133""","=""41.250796""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""",,"=""T7663""","=""L914""",
Na,2,"=""312.4415""","=""0.0003""","=""312.4413""","=""0.0014""","=""1700""","=""7.1e+07""",E,"=""37.094827""","=""41.061918""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",,"=""T7663c78""","=""L914""",
Na,2,"=""312.5212""","=""0.0003""","=""312.5212""","=""0.0014""","=""600""","=""9.72e+06""",C,"=""37.181047""","=""41.147123""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""312.9377""","=""0.0003""","=""312.9376""","=""0.0014""","=""600""","=""1.28e+08""",A,"=""32.941315""","=""36.902113""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""313.5483""","=""0.0003""","=""313.5478""","=""0.0014""","=""2500""","=""7.42e+07""",A,"=""33.014713""","=""36.967803""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3D""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""313.7861""","=""0.0003""","=""313.7853""","=""0.0014""","=""1700""","=""1.41e+08""",B+,"=""37.181047""","=""41.131145""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036""","=""L914""",
Na,2,"=""314.5706""","=""0.0003""","=""314.5700""","=""0.0014""","=""950""","=""4.5e+07""",C,"=""37.181047""","=""41.121292""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T7663c78""","=""L914""",
Na,2,"=""314.9283""","=""0.0003""","=""314.9275""","=""0.0014""","=""2000""","=""8.24e+07""",B+,"=""33.322360""","=""37.258133""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""315.9527""","=""0.0003""","=""315.9528""","=""0.0014""","=""70""","=""6.5e+06""",E,"=""37.208144""","=""41.131145""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036c79""","=""L914""",
Na,2,"=""316.1154""","=""0.0003""","=""316.1154""","=""0.0014""","=""250""","=""4.36e+06""",C+,"=""33.322360""","=""37.243343""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""0""",,"=""T7663""","=""L914""",
Na,2,"=""316.253""","=""0.010""","=""316.2526""","=""0.0014""","=""90""","=""7.1e+05""",E,"=""37.181047""","=""41.100329""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T7663c78""","=""L914""",
Na,2,"=""316.3246""","=""0.0003""","=""316.3243""","=""0.0014""","=""350""","=""6.1e+06""",E,"=""37.208144""","=""41.126538""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",,"=""T7663c78""","=""L914""",
Na,2,"=""316.3736""","=""0.0003""","=""316.3732""","=""0.0014""","=""2000""","=""1.05e+08""",B+,"=""37.094827""","=""41.012615""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""316.7484""","=""0.0003""","=""316.7484""","=""0.0014""","=""200""","=""9.3e+06""",C+,"=""37.208144""","=""41.121292""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""317.5086""","=""0.0003""","=""317.5085""","=""0.0014""","=""700""","=""6.23e+07""",C,"=""37.243343""","=""41.147123""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663c79""","=""L914""",
Na,2,"=""317.9064""","=""0.0003""","=""317.9055""","=""0.0014""","=""1000""","=""3.94e+07""",B,"=""37.094827""","=""40.993732""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""318.8127""","=""0.0003""","=""318.8134""","=""0.0014""","=""80""","=""1.9e+07""",E,"=""37.243343""","=""41.131145""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036c79""","=""L914""",
Na,2,"=""318.9790""","=""0.0003""","=""318.9790""","=""0.0014""","=""1700""","=""7.30e+07""",B+,"=""33.322360""","=""37.208144""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""320.0300""","=""0.0003""","=""320.0309""","=""0.0014""","=""60""","=""1.5e+06""",E,"=""37.258133""","=""41.131145""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036c79""","=""L914""",
Na,2,"=""321.2190""","=""0.0003""","=""321.2191""","=""0.0015""","=""1600""","=""1.12e+08""",A,"=""33.322360""","=""37.181047""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""1P""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""321.6283""","=""0.0003""","=""321.6286""","=""0.0015""","=""450""","=""1.4e+07""",C,"=""37.208144""","=""41.061918""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",,"=""T6036c79""","=""L914""",
Na,2,"=""322.5977""","=""0.0003""","=""322.5978""","=""0.0015""","=""450""","=""1.8e+07""",E,"=""37.258133""","=""41.100329""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T7663c78""","=""L914""",
Na,2,"=""323.4927""","=""0.0003""","=""323.4927""","=""0.0015""","=""700""","=""1.83e+07""",B,"=""37.181047""","=""41.012615""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""325.0949""","=""0.0003""","=""325.0949""","=""0.0015""","=""400""","=""9.65e+06""",C+,"=""37.181047""","=""40.993732""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""325.7964""","=""0.0003""","=""325.7968""","=""0.0015""","=""1500""","=""1.03e+08""",B+,"=""37.208144""","=""41.012615""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,2,"=""326.0210""","=""0.0003""","=""326.0215""","=""0.0015""","=""650""","=""4.65e+07""",B,"=""37.181047""","=""40.982896""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",,"=""T7663""","=""L914""",
Na,2,"=""327.4220""","=""0.0003""","=""327.4220""","=""0.0015""","=""950""","=""4.29e+07""",B,"=""37.208144""","=""40.993732""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T6036""","=""L914""",
Na,2,"=""328.5602""","=""0.0003""","=""328.5608""","=""0.0015""","=""1700""","=""1.10e+08""",A,"=""33.322360""","=""37.094827""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""1D""","=""2""",,"=""T7663""","=""L914""",
Na,2,"=""330.1349""","=""0.0003""","=""330.1348""","=""0.0015""","=""1700""","=""4.54e+06""",C,"=""37.258133""","=""41.012615""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",,"=""T6036""","=""L914""",
Na,1,"=""330.2369""","=""0.0005""","=""330.23686""","=""0.00022""","=""19""","=""2.75e+06""",A,"=""0.000000000""","=""3.7533216""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.4p""","=""2P*""","=""3/2""",,"=""c30,T76n""","=""L6096""",
Na,1,"=""330.2979""","=""0.0005""","=""330.29785""","=""0.00022""","=""18""","=""2.73e+06""",B+,"=""0.000000000""","=""3.7526285""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.4p""","=""2P*""","=""1/2""",,"=""c30,T76n""","=""L6096""",
Na,2,"=""330.4957""","=""0.0003""","=""330.4951""","=""0.0015""","=""1500""","=""3.60e+07""",B,"=""37.243343""","=""40.993732""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T6036""","=""L914""",
Na,2,"=""331.8039""","=""0.0003""","=""331.8036""","=""0.0016""","=""1000""","=""4.14e+07""",B,"=""37.258133""","=""40.993732""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T6036""","=""L914""",
Na,2,"=""332.7689""","=""0.0003""","=""332.7689""","=""0.0016""","=""950""","=""9.45e+07""",B,"=""37.258133""","=""40.982896""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",,"=""T6036""","=""L914""",
Na,2,"=""340.0093""","=""0.0003""","=""340.0098""","=""0.0016""","=""200""","=""1.24e+06""",C+,"=""33.322360""","=""36.967803""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""1""",,"=""T7663""","=""L914""",
Na,1,"=""342.73""","=""0.02""","=""342.736""","=""0.011""","=""9""","=""2.8e+07""",D,"=""32.7002""","=""36.3167""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,2,"=""346.2491""","=""0.0003""","=""346.2494""","=""0.0017""","=""450""","=""3.61e+06""",B,"=""33.322360""","=""36.902113""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",,"=""T7663""","=""L914""",
Na,1,"=""348.90""","=""0.02""","=""348.890""","=""0.009""","=""130""","=""4.2e+07""",D,"=""32.7002""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,1,"=""350.25""","=""0.02""","=""350.237""","=""0.010""","=""160""","=""8.8e+07""",D,"=""32.7002""","=""36.2392""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5209""","=""L6269""",
Na,1,"=""351.10""","=""0.02""","=""351.093""","=""0.010""","=""130""","=""1.15e+08""",D,"=""32.7002""","=""36.2306""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""",,"=""T5209""","=""L6269""",
Na,2,"=""353.3052""","=""0.0003""","=""353.3057""","=""0.0018""","=""1500""","=""8.81e+07""",A,"=""32.846429""","=""36.354688""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3S""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""363.1272""","=""0.0003""","=""363.1272""","=""0.0019""","=""1200""","=""3.72e+07""",A,"=""32.941315""","=""36.354688""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3S""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""371.1070""","=""0.0003""","=""371.1074""","=""0.0019""","=""850""","=""1.02e+07""",B+,"=""33.014713""","=""36.354688""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3S""","=""1""",,"=""T7663""","=""L914""",
Na,1,"=""384.80""","=""0.02""","=""384.802""","=""0.013""","=""5""","=""2.8e+07""",D,"=""33.0956""","=""36.3167""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,1,"=""386.55""","=""0.02""","=""386.543""","=""0.013""","=""130""","=""5.8e+07""",D,"=""33.0525""","=""36.2591""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""",,"=""T5209""","=""L6269""",
Na,1,"=""387.29""","=""0.02""","=""387.296""","=""0.011""","=""19""","=""1.2e+07""",D,"=""33.0525""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,1,"=""388.18""","=""0.02""","=""388.181""","=""0.020""","=""420""","=""1.63e+08""",D,"=""33.0525""","=""36.2456""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""9/2""",,"=""T5209""","=""L6269""",
Na,1,"=""388.57""","=""0.02""","=""388.571""","=""0.011""","=""36""","=""6.2e+07""",D,"=""33.1388""","=""36.3286""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5209""","=""L6269""",
Na,1,"=""390.04""","=""0.02""","=""390.033""","=""0.014""","=""15""","=""7.7e+07""",D,"=""33.1388""","=""36.3167""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,1,"=""391.79""","=""0.02""","=""391.803""","=""0.012""","=""160""","=""6.6e+07""",D,"=""33.0956""","=""36.2591""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""",,"=""T5209""","=""L6269""",
Na,1,"=""392.56""","=""0.02""","=""392.577""","=""0.009""","=""85""","=""4.5e+07""",D,"=""33.0956""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,1,"=""393.06""","=""0.02""","=""393.059""","=""0.014""","=""15""","=""2.5e+07""",D,"=""33.1752""","=""36.3286""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5209""","=""L6269""",
Na,1,"=""394.26""","=""0.02""","=""394.283""","=""0.009""","=""32""","=""2.1e+07""",D,"=""33.0956""","=""36.2392""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5209""","=""L6269""",
Na,1,"=""398.03""","=""0.02""","=""398.023""","=""0.010""","=""14""","=""5.e+06""",D,"=""33.1388""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,1,"=""399.77""","=""0.02""","=""399.777""","=""0.011""","=""14""","=""8.e+06""",D,"=""33.1388""","=""36.2392""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5209""","=""L6269""",
Na,1,"=""400.88""","=""0.02""","=""400.892""","=""0.011""","=""27""","=""1.5e+07""",D,"=""33.1388""","=""36.2306""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""",,"=""T5209""","=""L6269""",
Na,2,"=""408.7603""","=""0.0003""","=""408.7593""","=""0.0024""","=""130""","=""3.81e+05""",C,"=""33.322360""","=""36.354688""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3S""","=""1""",,"=""T7663""","=""L914""",
Na,2,"=""411.3704""","=""0.0003""","=""411.3703""","=""0.0024""","=""300""","=""3.7e+07""",D,"=""38.293859""","=""41.306940""","=""2s2.2p5.3p""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036c80""","=""L914""",
Na,2,"=""412.3082""","=""0.0003""","=""412.3069""","=""0.0024""","=""250""","=""2.7e+07""",C,"=""38.293859""","=""41.300096""","=""2s2.2p5.3p""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
Na,1,"=""417.67""","=""0.02""","=""417.667""","=""0.014""","=""82""","=""3.5e+07""",D,"=""33.2915""","=""36.2591""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""",,"=""T5209""","=""L6269""",
Na,1,"=""418.55""","=""0.02""","=""418.546""","=""0.011""","=""150""","=""4.9e+07""",D,"=""33.2915""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,1,"=""420.49""","=""0.02""","=""420.486""","=""0.012""","=""46""","=""2.5e+07""",D,"=""33.2915""","=""36.2392""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5209""","=""L6269""",
Na,1,"=""424.2082""","=""0.0008""","=""424.20759""","=""0.00004""","=""3*""","=""5.54e+04""",B,"=""2.104429202""","=""[5.02633118]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.11d""","=""2D""","=""3/2""",,"=""T7799""","=""L6096""",
Na,1,"=""424.2082""","=""0.0008""","=""424.20763""","=""0.00004""","=""3*""","=""3.32e+05""",B,"=""2.104429202""","=""[5.02633094]""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.11d""","=""2D""","=""5/2""",,"=""T7799""","=""L6096""",
Na,1,"=""425.2520""","=""0.0008""","=""425.25165""","=""0.00004""","=""2""","=""1.84e+05""",B,"=""2.104429202""","=""5.01915758""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.12s""","=""2S""","=""1/2""",,"=""T7799""","=""L6096""",
Na,1,"=""425.38""","=""0.02""","=""425.376""","=""0.013""","=""17""","=""5.e+06""",D,"=""33.3390""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
Na,1,"=""427.3642""","=""0.0008""","=""427.36265""","=""0.00004""","=""4""","=""3.91e+05""",C,"=""2.102297177""","=""5.00262826""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.10d""","=""2D""","=""3/2""",,"=""c58,LS""","=""L6096""",
Na,1,"=""427.39""","=""0.02""","=""427.380""","=""0.013""","=""23""","=""1.6e+07""",D,"=""33.3390""","=""36.2392""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5209""","=""L6269""",
Na,1,"=""427.6787""","=""0.0008""","=""427.67704""","=""0.00004""","=""5*""","=""7.8e+04""",C,"=""2.104429202""","=""5.00262826""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.10d""","=""2D""","=""3/2""",,"=""c58,LS""","=""L6096""",
Na,1,"=""427.6787""","=""0.0008""","=""427.67709""","=""0.00004""","=""5*""","=""4.69e+05""",C,"=""2.104429202""","=""5.00262788""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.10d""","=""2D""","=""5/2""",,"=""c58,LS""","=""L6096""",
Na,1,"=""428.67""","=""0.02""","=""428.655""","=""0.013""","=""46""","=""2.8e+07""",D,"=""33.3390""","=""36.2306""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""",,"=""T5209""","=""L6269""",
Na,1,"=""429.1006""","=""0.0008""","=""429.10012""","=""0.00004""","=""3""","=""2.47e+05""",B,"=""2.104429202""","=""4.99301675""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.11s""","=""2S""","=""1/2""",,"=""T7799""","=""L6096""",
